t,ax,ay,az 
1.5608574860902E13,-0.9720764,1.6477509,8.7365265
1.5608579896302E13,-0.9796295,1.6981659,8.654785
1.5608584931702E13,-0.9623108,1.769455,8.588028
1.5608589967103E13,-0.94166565,1.8451385,8.558624
1.5608595002503E13,-0.9464569,1.8558502,8.602493
1.5608600037904E13,-0.96206665,1.8569946,8.688202
1.5608605073304E13,-0.9970703,1.8231201,8.72937
1.5608610108704E13,-1.0785522,1.7024231,8.664612
1.5608615144105E13,-1.1489258,1.6836243,8.655121
1.5608620179505E13,-1.1875305,1.6563873,8.814774
1.5608625214906E13,-1.2384796,1.6699524,8.976868
1.5608630250306E13,-1.2236023,1.695816,9.116058
