t,mx,my,mz,mxb,myb,mzb 
1.5400894793943E13,10.856628,5.0949097,455.12695,1.0238647,68.74237,496.78802
1.5400914935544E13,10.30426,4.574585,454.3625,1.0238647,68.74237,496.78802
1.5400935077146E13,10.025024,3.4576416,454.4983,1.0238647,68.74237,496.78802
1.5400955218747E13,10.794067,3.7857056,454.82178,1.0238647,68.74237,496.78802
1.5400975360349E13,10.131836,3.9749146,455.43823,1.0238647,68.74237,496.78802
1.5400995501951E13,9.506226,3.9749146,455.68237,1.0238647,68.74237,496.78802
1.5401015643552E13,10.914612,5.1483154,454.9942,1.0238647,68.74237,496.78802
1.5401035785154E13,11.109924,5.7037354,454.8996,1.0238647,68.74237,496.78802
1.5401055926755E13,10.890198,5.7037354,455.0064,1.0238647,68.74237,496.78802
1.5401076068357E13,10.264587,4.8294067,455.13,1.0238647,68.74237,496.78802
1.5401096209958E13,10.897827,2.8701782,455.542,1.0238647,68.74237,496.78802
1.5401116342104E13,11.235046,2.2476196,455.68237,1.0238647,68.74237,496.78802
1.5401136483705E13,10.836792,3.4378052,456.073,1.0238647,68.74237,496.78802
1.5401156625307E13,10.4522705,5.1239014,454.89655,1.0238647,68.74237,496.78802
1.5401176766909E13,10.371399,5.531311,454.4983,1.0238647,68.74237,496.78802
1.540119690851E13,9.951782,3.7139893,454.91028,1.0238647,68.74237,496.78802
1.5401217050112E13,9.8526,4.119873,455.0064,1.0238647,68.74237,496.78802
1.5401237191713E13,9.8526,4.321289,455.0064,1.0238647,68.74237,496.78802
1.5401257333315E13,9.117126,4.4677734,456.015,1.0238647,68.74237,496.78802
1.5401277474916E13,10.308838,2.5863647,454.6112,1.0238647,68.74237,496.78802
1.5401297616518E13,10.543823,2.2476196,454.32892,1.0238647,68.74237,496.78802
1.540131775812E13,10.079956,4.2541504,456.59943,1.0238647,68.74237,496.78802
1.5401337899721E13,8.483887,5.1086426,456.26526,1.0238647,68.74237,496.78802
1.5401358041323E13,8.296204,5.1849365,456.1905,1.0238647,68.74237,496.78802
1.5401378182924E13,8.621216,2.5894165,455.8731,1.0238647,68.74237,496.78802
1.5401398324526E13,9.126282,2.9037476,456.64368,1.0238647,68.74237,496.78802
1.5401418466127E13,9.161377,2.9388428,456.6986,1.0238647,68.74237,496.78802
1.5401438607729E13,8.9904785,4.4662476,455.867,1.0238647,68.74237,496.78802
1.540145874933E13,8.818054,3.9855957,457.34406,1.0238647,68.74237,496.78802
1.5401478890932E13,8.815002,3.9642334,457.36694,1.0238647,68.74237,496.78802
1.5401499032534E13,8.804321,2.9388428,456.3507,1.0238647,68.74237,496.78802
1.5401519174135E13,8.470154,2.9388428,456.02112,1.0238647,68.74237,496.78802
1.5401539315737E13,8.459473,2.986145,456.10657,1.0238647,68.74237,496.78802
1.5401559457338E13,8.36792,3.6819458,457.4997,1.0238647,68.74237,496.78802
1.540157959894E13,9.333801,2.0736694,456.86798,1.0238647,68.74237,496.78802
1.5401599740541E13,9.211731,2.2628784,456.91986,1.0238647,68.74237,496.78802
1.5401619882143E13,8.006287,3.8955688,457.2235,1.0238647,68.74237,496.78802
1.5401640023745E13,7.0861816,3.2836914,456.02112,1.0238647,68.74237,496.78802
1.5401660165346E13,7.13501,3.3813477,456.35986,1.0238647,68.74237,496.78802
1.5401680306948E13,7.3516846,3.7353516,458.3145,1.0238647,68.74237,496.78802
1.5401700448549E13,6.9137573,2.420044,457.88422,1.0238647,68.74237,496.78802
1.5401720590151E13,7.041931,2.5482178,457.88422,1.0238647,68.74237,496.78802
1.5401740731752E13,7.1258545,3.0426025,457.68433,1.0238647,68.74237,496.78802
1.5401760873354E13,5.1849365,2.7648926,456.86798,1.0238647,68.74237,496.78802
1.5401781014955E13,5.264282,2.4475098,457.02362,1.0238647,68.74237,496.78802
1.5401801156557E13,5.7373047,1.7547607,457.42493,1.0238647,68.74237,496.78802
1.5401821298159E13,6.3949585,2.9388428,457.03735,1.0238647,68.74237,496.78802
1.540184143976E13,6.7245483,2.607727,457.45544,1.0238647,68.74237,496.78802
1.5401861581362E13,7.6049805,1.7288208,457.79877,1.0238647,68.74237,496.78802
1.5401881722963E13,7.6049805,1.7288208,455.85175,1.0238647,68.74237,496.78802
1.5401901864565E13,7.4401855,1.8920898,456.44226,1.0238647,68.74237,496.78802
1.5401922006166E13,7.0861816,2.6947021,457.6065,1.0238647,68.74237,496.78802
1.5401942147768E13,7.0861816,3.630066,457.3761,1.0238647,68.74237,496.78802
1.540196228937E13,7.0861816,3.2562256,457.98492,1.0238647,68.74237,496.78802
1.5401982430971E13,6.706238,2.7191162,458.45032,1.0238647,68.74237,496.78802
1.5402002572573E13,6.05011,2.9388428,457.3761,1.0238647,68.74237,496.78802
1.5402022714174E13,6.466675,3.2165527,457.2403,1.0238647,68.74237,496.78802
1.5402042855776E13,7.368469,2.922058,456.90002,1.0238647,68.74237,496.78802
1.5402062997377E13,7.7789307,1.9012451,456.6986,1.0238647,68.74237,496.78802
1.5402083138979E13,7.006836,2.671814,456.39648,1.0238647,68.74237,496.78802
1.540210328058E13,7.221985,3.7078857,456.55823,1.0238647,68.74237,496.78802
1.5402123422182E13,8.642578,3.8024902,457.20673,1.0238647,68.74237,496.78802
1.5402143563784E13,8.132935,3.125,456.21185,1.0238647,68.74237,496.78802
1.5402163705385E13,7.1762085,2.84729,456.4331,1.0238647,68.74237,496.78802
1.5402183846987E13,6.741333,3.2836914,457.71484,1.0238647,68.74237,496.78802
